# ###################################################################
#      2d Ising Model with Metropolis algorithm on square lattice    
# Run on  () by bips on Wed Dec  1 19:47:21 2021
# L       =     10 (Lattice linear dimension, N=L*L)
# seed    =           5342
# nsweeps =        10000 (No. of sweeps)
# beta    =      0.44000000000000000    
# start   =    1 (0 cold, 1 hot, 2 old config)
# RANLUX LUXURY LEVEL SET BY RLUXGO : 3     P= 223
# RANLUX INITIALIZED BY RLUXGO FROM SEEDS        5342           0           0
        -140          82
        -136          68
        -132          68
        -136          70
        -140          74
        -144          74
        -136          66
        -160          88
        -172          92
        -172          92
        -176          94
        -184          96
        -176          94
        -168          92
        -152          88
        -172          92
        -172          92
        -164          90
        -176          92
        -156          86
        -132          78
        -144          74
        -140          76
        -124          74
        -144          80
        -136          78
        -132          72
        -156          84
        -168          90
        -192          98
        -192          98
        -188          96
        -192          98
        -192          98
        -184          96
        -192          98
        -184          96
        -136          82
        -148          82
        -148          84
        -148          84
        -152          82
        -140          76
        -128          66
        -144          72
        -136          80
        -136          80
        -144          78
        -132          74
        -136          82
        -172          92
        -176          94
        -172          92
        -156          88
        -164          90
        -164          88
        -132          80
        -148          82
        -156          82
        -168          84
        -144          70
        -136          72
        -144          82
        -152          86
        -184          96
        -168          90
        -156          88
        -164          88
        -160          90
        -136          82
        -156          88
        -152          86
        -160          88
        -160          88
        -184          96
        -176          92
        -168          86
        -136          76
        -128          70
        -156          80
        -144          82
        -148          86
        -176          94
        -160          88
        -156          82
        -140          76
        -140          74
        -144          80
        -148          82
        -148          82
        -168          92
        -140          74
        -152          82
        -136          80
        -124          78
        -124          72
        -124          72
        -108          60
        -128          52
        -132          52
        -128          66
        -108          62
        -108          40
        -112          60
        -132          80
        -164          90
        -184          96
        -180          94
        -180          94
        -176          90
        -176          92
        -156          86
        -168          92
        -164          90
        -172          92
        -160          86
        -172          92
        -200         100
        -152          82
        -144          78
        -136          78
        -152          82
        -124          68
        -140          80
        -140          82
        -156          80
        -132          74
        -144          78
        -132          72
        -132          62
        -132          54
        -136          52
        -136          64
        -116          68
        -104          48
        -124          62
        -112          54
        -116          70
        -136          70
        -136          66
        -148          84
        -152          82
        -132          66
        -132          70
        -148          76
        -144          74
        -160          74
        -144          62
        -148          68
        -120          52
        -120          60
        -120          60
        -124          58
        -112          56
        -120          56
